,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
229,Portland,90,US,10/22/2019,76,43.66,-70.25,59,12.75
230,Berlevag,75,NO,10/22/2019,80,70.86,29.09,33.8,19.46
231,Villapinzon,59,CO,10/22/2019,79,5.22,-73.59,66.13,4.21
232,Champerico,40,MX,10/22/2019,58,16.38,-93.6,86,4.7
233,Tiksi,46,RU,10/22/2019,89,71.64,128.87,0.79,8.32
234,Kalakamati,92,BW,10/22/2019,42,-20.59,27.31,84.2,16.11
235,Meulaboh,100,ID,10/22/2019,80,4.14,96.13,80.42,4.41
236,Banda Aceh,100,ID,10/22/2019,92,5.56,95.32,74.12,2.39
237,Port Lincoln,0,AU,10/22/2019,56,-34.72,135.86,61.02,8.21
238,Clyde River,40,CA,10/22/2019,85,70.47,-68.59,24.8,4.05
239,Omsukchan,31,RU,10/22/2019,100,62.53,155.8,-4.56,1.5
240,Praia,40,BR,10/22/2019,40,-20.25,-43.81,86,10.29
241,Rio Grande,40,BR,10/22/2019,56,-32.03,-52.1,71.6,5.82
242,Witu,0,KE,10/22/2019,86,-2.39,40.44,79.9,9.13
243,Gavrilov-Yam,90,RU,10/22/2019,75,57.3,39.85,46.4,8.95
244,Geraldton,90,CA,10/22/2019,93,49.72,-86.95,46.4,9.17
245,Khandyga,0,RU,10/22/2019,89,62.65,135.58,7.68,0.92
246,Jalu,6,LY,10/22/2019,43,29.03,21.55,74.25,7.25
247,Honiara,75,SB,10/22/2019,94,-9.43,159.96,75.2,6.93
248,Coihaique,21,CL,10/22/2019,41,-45.58,-72.07,57.2,8.05
249,Puerto Baquerizo Moreno,75,EC,10/22/2019,78,-0.9,-89.6,75.2,14.99
250,Shingu,0,JP,10/22/2019,79,33.72,135.99,67.03,9.86
251,Souillac,100,FR,10/22/2019,82,45.6,-0.6,57.2,12.75
252,Hamilton,75,CA,10/22/2019,87,43.26,-79.87,61,12.75
253,Poum,0,MK,10/22/2019,67,41.28,20.71,59,3.36
254,Svetlaya,0,RU,10/22/2019,54,46.54,138.33,50.59,4.61
255,Kalianget,72,ID,10/22/2019,91,-7.35,109.91,68.31,1.28
256,Haines Junction,99,CA,10/22/2019,94,60.75,-137.51,19.76,4.16
257,Ballina,75,IE,10/22/2019,87,54.11,-9.15,54,11.41
258,Manzini,100,SZ,10/22/2019,28,-26.5,31.37,64.4,5.57
259,Mar del Plata,0,AR,10/22/2019,39,-46.43,-67.52,54.88,11.99
260,Kavaratti,100,IN,10/22/2019,82,10.57,72.64,80.47,8.01
261,Umm Lajj,100,SA,10/22/2019,59,25.02,37.27,77.67,3.27
262,Barberton,100,SZ,10/22/2019,93,-25.78,31.05,64,3.36
263,Birobidzhan,15,RU,10/22/2019,55,48.79,132.93,33.53,3.15
264,Broken Hill,85,AU,10/22/2019,19,-31.97,141.45,69.8,8.05
265,Keita,40,NG,10/22/2019,66,7.1,3.65,87.8,5.82
266,Ambovombe,68,MG,10/22/2019,75,-25.18,46.09,71.87,10.67
267,Alto Longa,69,BR,10/22/2019,40,-5.25,-42.21,93.61,5.19
268,North Platte,90,US,10/22/2019,40,41.12,-100.77,54,18.34
269,Richards Bay,100,ZA,10/22/2019,79,-28.77,32.06,65.68,23.76
270,Laguna,75,BZ,10/22/2019,66,16.17,-88.94,87.8,3.56
271,Bandarbeyla,90,SO,10/22/2019,80,9.49,50.81,80.76,16.75
272,Nenjiang,12,CN,10/22/2019,58,49.17,125.23,31.39,3.65
273,Havoysund,90,NO,10/22/2019,94,71,24.66,32,21.92
274,Dingle,44,PH,10/22/2019,88,11,122.67,74.17,4.99
275,Coquimbo,100,CL,10/22/2019,67,-29.95,-71.34,78.01,12.75
276,Chunskiy,100,RU,10/22/2019,62,56.08,99.63,23.88,4.68
277,Eureka,75,US,10/22/2019,87,40.8,-124.16,59,4.7
278,Waingapu,58,ID,10/22/2019,82,-9.65,120.26,79.66,8.52
279,Mufumbwe,71,ZM,10/22/2019,34,-13.68,24.8,77.09,5.14
280,Alfredo Chaves,90,BR,10/22/2019,88,-20.64,-40.75,75.99,11.41
281,Elizabeth City,40,US,10/22/2019,73,36.3,-76.22,73.99,9.17
282,Corinth,20,GR,10/22/2019,53,37.94,22.93,72,10.29
283,Hobyo,12,SO,10/22/2019,74,5.35,48.53,80.67,7.02
284,Ormara,0,PK,10/22/2019,73,25.21,64.64,83.46,12.03
285,Teya,75,MX,10/22/2019,59,21.05,-89.07,93,12.75
286,Valparaiso,90,US,10/22/2019,62,41.47,-87.06,51.8,27.51
287,Harper,1,US,10/22/2019,28,30.3,-99.24,77,5.82
288,Hofn,100,IS,10/22/2019,75,64.25,-15.21,37.45,34.02
289,Lasa,20,CY,10/22/2019,68,34.92,32.53,69.8,5.82
290,Port Blair,54,IN,10/22/2019,77,11.67,92.75,83.16,7.27
291,Port-Gentil,75,GA,10/22/2019,78,-0.72,8.78,82.4,11.41
292,Port Moresby,100,PG,10/22/2019,87,-9.47,147.16,77.11,16.15
293,Patur,72,IN,10/22/2019,89,20.46,76.94,71.44,1.48
294,Guerrero Negro,0,MX,10/22/2019,13,27.97,-114.04,85.8,4.45
295,Vila,89,IT,10/22/2019,88,45.18,8.4,66.2,3.36
296,Charters Towers,0,AU,10/22/2019,91,-20.07,146.27,59,5.68
297,Padang,90,ID,10/22/2019,93,-0.92,100.36,66.72,2.95
298,Voznesenskoye,100,RU,10/22/2019,81,54.89,42.76,47.8,5.75
299,Areosa,20,PT,10/22/2019,72,41.72,-8.86,64.99,8.05
300,Cabo San Lucas,5,MX,10/22/2019,74,22.89,-109.91,84.99,4.7
301,Abaza,96,RU,10/22/2019,82,52.65,90.1,19.56,4.07
302,Carballo,20,ES,10/22/2019,72,43.21,-8.69,61,8.05
303,Zemio,34,CF,10/22/2019,93,5.02,25.13,70.02,1.57
304,Calvinia,99,ZA,10/22/2019,43,-31.47,19.78,56.07,11.7
305,Leningradskiy,78,RU,10/22/2019,87,69.38,178.42,22.8,16.02
306,Los Llanos de Aridane,75,ES,10/22/2019,56,28.66,-17.92,71.6,10.29
307,Tselinnoye,68,UA,10/22/2019,66,45.9,34.18,58.95,3.58
308,Araucaria,77,BR,10/22/2019,46,-25.59,-49.41,75.99,4.7
309,Katsuura,20,JP,10/22/2019,87,33.93,134.5,60.8,8.05
310,Maues,70,BR,10/22/2019,38,-3.38,-57.72,96.44,0.89
311,Cap-aux-Meules,20,CA,10/22/2019,61,47.38,-61.86,48.2,11.41
312,Naryan-Mar,97,RU,10/22/2019,92,67.67,53.09,24.01,13.53
313,Lakes Entrance,0,AU,10/22/2019,93,-37.88,147.99,37.99,3.04
314,Maniitsoq,87,GL,10/22/2019,42,65.42,-52.9,34.65,7.56
315,Nago,92,IT,10/22/2019,88,45.88,10.89,69.01,4.7
316,Sao Filipe,0,CV,10/22/2019,76,14.9,-24.5,75.94,24.29
317,Anchorage,90,US,10/22/2019,86,61.22,-149.89,36,4.7
318,Caravelas,100,BR,10/22/2019,54,-17.73,-39.27,88.57,10.65
319,Sitrah,8,BH,10/22/2019,66,26.15,50.62,89.6,8.05
320,Chiredzi,28,ZW,10/22/2019,67,-21.05,31.67,74.21,8.23
321,Jaguaribe,10,BR,10/22/2019,20,-5.88,-38.62,97.7,7.81
322,Necochea,83,AR,10/22/2019,81,-38.55,-58.74,55,5.01
323,Cairns,75,AU,10/22/2019,83,-16.92,145.77,71.6,11.41
324,Hokitika,77,NZ,10/22/2019,63,-42.72,170.96,45.93,10.25
325,Rogovatoye,100,RU,10/22/2019,86,51.23,38.38,53.24,4.43
326,Walvis Bay,0,NA,10/22/2019,72,-22.95,14.51,62.6,14.99
327,Sinnamary,8,GF,10/22/2019,77,5.38,-52.96,82.17,12.24
328,San Patricio,0,PY,10/22/2019,41,-26.98,-56.83,76.82,7.07
329,Bethel,40,US,10/22/2019,84,60.79,-161.76,33.8,8.05
330,Rongcheng,100,CN,10/22/2019,85,37.16,122.42,61.47,4.76
331,Govindgarh,24,IN,10/22/2019,27,27.5,77,77.77,3.87
332,Sur,0,OM,10/22/2019,51,22.57,59.53,78.15,2.33
333,Guiratinga,84,BR,10/22/2019,50,-16.35,-53.76,87.04,8.01
334,Half Moon Bay,1,US,10/22/2019,68,37.46,-122.43,78.01,3.36
335,Vardo,90,US,10/22/2019,87,39.62,-77.74,60.01,10.29
336,Dmitrovsk-Orlovskiy,74,RU,10/22/2019,92,52.51,35.15,52.74,4.63
337,Kawalu,74,ID,10/22/2019,89,-7.38,108.21,67.26,2.57
338,Mwinilunga,77,ZM,10/22/2019,87,-11.73,24.43,64.96,9.69
339,Eyl,18,SO,10/22/2019,79,7.98,49.82,80.92,8.79
340,Lagoa,20,PT,10/22/2019,72,37.14,-8.45,62.6,9.17
341,Lahaina,20,US,10/22/2019,54,20.87,-156.68,78.8,9.17
342,Estelle,100,FR,10/22/2019,93,43.97,3.47,62.6,8.05
343,Cairo,75,EG,10/22/2019,73,30.05,31.24,73.4,2.24
344,Salvador,40,BR,10/22/2019,83,-12.98,-38.48,82.4,11.41
345,Nizhniy Odes,86,RU,10/22/2019,81,63.64,54.86,27.3,4.81
346,Solnechnyy,0,RU,10/22/2019,59,50.72,136.64,31.48,3.36
347,Butka,73,RU,10/22/2019,88,56.72,63.78,33.28,10.02
348,Angoram,95,PG,10/22/2019,99,-4.06,144.07,73.67,1.81
349,Goure,0,NE,10/22/2019,14,13.98,10.27,95,5.99
350,Zhigansk,70,RU,10/22/2019,92,66.77,123.37,9.99,3.44
351,Traverse City,75,US,10/22/2019,81,44.76,-85.62,51.8,14.99
352,Lewiston,1,US,10/22/2019,58,44.1,-70.21,59,10.29
353,Pa Sang,20,TH,10/22/2019,83,18.53,98.94,78.8,1.05
354,Klaksvik,100,FO,10/22/2019,86,62.23,-6.59,39.2,11.41
355,Ancud,75,CL,10/22/2019,62,-41.87,-73.83,53.6,14.99
356,Sisimiut,100,GL,10/22/2019,58,66.94,-53.67,23.94,5.3
357,Monrovia,75,LR,10/22/2019,74,6.33,-10.8,86,10.76
358,Cam Ranh,20,VN,10/22/2019,94,11.92,109.15,78.8,3.36
359,Jinsha,1,CN,10/22/2019,82,24.49,118.41,68,8.95
